,0,1,2,4,6,7,8,9,10,11,12,14,15,16,17,18,19,19_assign,9_assign,11_assign
43640,87,36,31,43,33,56,1,56,34,97,61,3,81,70,8,53,62,238328,175616,912673
347540,43,5,30,82,36,93,11,42,95,25,93,12,4,36,72,64,48,75,74088,15625
368517,37,20,30,47,39,5,79,65,33,21,60,70,63,2,27,74,79,44,77,84
322271,7,50,33,92,33,74,93,21,89,29,90,65,86,79,18,65,67,41,9261,24389
368518,60,62,80,26,72,16,78,90,41,16,88,57,69,83,90,4,29,94,6,75
368519,39,9,56,42,84,90,84,33,74,25,63,38,98,45,12,82,31,66,13,43
368520,87,11,19,60,7,27,81,69,44,94,66,3,95,57,4,98,6,65,73,71
368521,82,18,65,44,24,9,55,60,60,41,45,8,42,44,41,15,38,28,93,9
368522,61,59,54,0,72,37,73,90,92,96,52,55,24,14,23,84,69,14,80,78
368523,49,53,85,24,18,56,17,16,70,63,72,2,97,62,45,98,11,99,96,3
368524,29,15,58,46,77,85,55,47,54,27,45,0,43,60,3,79,33,42,96,40
368525,92,84,95,57,91,74,89,19,26,51,30,24,73,50,17,87,47,29,83,20
368526,81,88,98,71,28,64,25,15,57,83,32,5,16,62,10,55,85,11,90,93
368527,25,1,68,52,13,44,60,96,78,83,45,92,16,99,31,15,22,84,69,0
368528,12,11,63,56,44,39,62,87,65,67,96,4,21,88,34,54,60,13,74,6
368529,43,98,32,92,83,41,35,80,94,85,23,0,57,61,10,87,5,27,54,37
368530,25,27,5,56,67,92,0,29,34,91,48,19,63,22,66,32,55,2,71,29
368531,67,41,55,82,60,48,92,32,39,22,30,73,4,52,88,5,86,66,56,55
368532,88,33,0,99,61,1,79,37,75,27,66,49,59,4,11,45,11,29,41,39
368533,42,56,23,64,77,30,49,73,28,91,85,79,23,62,22,0,62,27,9,0
368534,34,51,77,68,54,55,70,13,80,78,68,81,55,48,84,84,99,99,13,8
368535,81,90,30,26,45,97,95,32,81,60,59,23,66,43,45,33,73,63,12,20
368536,51,89,48,86,34,15,55,93,13,93,28,79,28,30,41,13,32,80,5,13
368537,32,15,91,20,27,52,81,39,10,12,81,39,37,61,74,90,28,27,48,85
368538,88,16,74,62,46,37,5,4,32,25,5,13,48,16,54,4,19,28,39,18
368539,54,33,92,81,87,60,92,10,17,80,6,71,95,86,64,58,32,14,88,49
368540,1,45,12,32,30,83,92,94,3,78,87,71,80,74,8,95,80,10,3,20
368541,27,36,7,5,33,82,3,29,8,8,92,67,71,21,61,67,89,11,39,99
368542,59,26,45,51,52,65,38,24,6,66,93,10,54,13,60,43,83,28,92,82
368543,23,64,18,11,26,93,31,80,27,72,61,56,92,58,33,43,61,13,80,32
368544,4,82,73,8,43,93,47,26,80,48,67,41,42,99,80,6,26,88,65,52
368545,64,25,29,39,44,56,98,28,55,48,58,2,98,80,44,96,68,18,26,28
368546,60,76,28,31,21,97,55,62,55,26,11,36,53,78,68,51,0,90,19,86
368547,82,33,62,0,32,94,13,63,44,18,1,25,75,20,11,99,21,50,51,79
368548,48,38,32,72,89,66,55,5,83,31,55,84,63,11,54,93,3,34,74,47
368549,71,20,17,23,8,96,41,84,82,43,74,39,79,98,36,54,3,9,76,34
368550,39,45,0,91,62,75,3,70,50,59,42,54,90,2,50,97,19,69,93,66
368551,84,2,69,35,78,76,39,78,0,86,22,85,72,67,74,37,86,92,14,79
368552,64,21,46,17,59,82,39,95,53,71,69,95,20,39,18,48,36,59,1,61
368553,24,81,91,94,60,86,61,45,63,78,68,0,24,96,4,48,17,68,1,9
368554,35,11,9,41,46,92,80,38,29,66,68,17,43,59,63,96,88,82,1,90
368555,98,66,29,35,5,18,8,3,54,2,87,62,34,18,60,37,60,71,54,29
368556,65,20,91,63,98,18,81,95,29,66,27,38,55,30,83,9,80,70,8,70
368557,47,91,60,38,49,36,12,56,49,0,9,15,20,97,29,97,96,0,11,47
368558,32,66,86,99,48,30,41,20,60,79,89,13,91,60,12,89,34,85,42,47
368559,62,23,21,90,36,77,78,21,69,11,59,51,78,30,21,81,7,70,35,99
368560,16,40,85,83,69,44,12,97,65,99,60,84,19,37,79,33,51,18,30,75
368561,94,81,68,58,72,34,59,13,21,44,46,72,58,68,5,39,5,40,75,33
368562,59,36,51,2,47,60,82,28,69,57,25,35,27,77,70,42,66,39,30,79
