79.csv,78.csv,1
78.csv,77.csv,0.333333
71.csv,66.csv,0.6875
66.csv,61.csv,0.636364
60.csv,59.csv,0.625
62.csv,60.csv,0.555556
61.csv,60.csv,0.5
72.csv,71.csv,0.5
58.csv,57.csv,0.484375
73.csv,61.csv,0.454545
59.csv,57.csv,0.16
53.csv,51.csv,0.83225
54.csv,53.csv,0.548148
47.csv,43.csv,0.857143
50.csv,49.csv,0.857143
49.csv,48.csv,0.833333
44.csv,43.csv,0.714286
46.csv,44.csv,0.691176
48.csv,46.csv,0.630952
55.csv,52.csv,0.62069
41.csv,40.csv,0.571429
42.csv,41.csv,0.466667
52.csv,50.csv,0.397436
43.csv,42.csv,0.306122
35.csv,30.csv,0.156863
69.csv,67.csv,0.733945
70.csv,69.csv,0.5
68.csv,67.csv,0.2
26.csv,25.csv,0.575758
14.csv,13.csv,0.539106
36.csv,34.csv,0.744681
34.csv,29.csv,0.712121
29.csv,27.csv,0.636364
31.csv,28.csv,0.5
27.csv,24.csv,0.452381
33.csv,32.csv,0.4
32.csv,31.csv,0.333333
37.csv,36.csv,0.0571429
36.csv,28.csv,0.0285714
75.csv,74.csv,0.0909091
16.csv,12.csv,0.814126
11.csv,10.csv,0.80065
20.csv,19.csv,0.555556
19.csv,18.csv,0.5
22.csv,20.csv,0.470588
8.csv,10.csv,0.45067
23.csv,20.csv,0.421053
17.csv,16.csv,0.393651
21.csv,19.csv,0.166667
12.csv,10.csv,0.0899556
18.csv,12.csv,0.0376569
3.csv,2.csv,0.724385
4.csv,2.csv,0.715405
6.csv,2.csv,0.6
7.csv,6.csv,0.508358
2.csv,1.csv,0.457219
1.csv,0.csv,0.0812308
51.csv,48.csv,0.9281
56.csv,55.csv,0.911983
24.csv,23.csv,0.909091
38.csv,37.csv,0.909091
65.csv,64.csv,0.882143
8.csv,7.csv,0.876082
30.csv,27.csv,0.873346
9.csv,4.csv,0.854982
5.csv,4.csv,0.841478
74.csv,73.csv,0.784404
64.csv,63.csv,0.784314
76.csv,70.csv,0.770642
13.csv,12.csv,0.767155
77.csv,76.csv,0.725275
15.csv,12.csv,0.644937
39.csv,38.csv,0.644068
45.csv,43.csv,0.614151
25.csv,24.csv,0.560393
57.csv,55.csv,0.55371
63.csv,62.csv,0.504202
67.csv,66.csv,0.444444
