37.csv,35.csv,1
79.csv,78.csv,1
8.csv,6.csv,1
6.csv,5.csv,0.996032
17.csv,16.csv,0.988556
26.csv,25.csv,0.984367
29.csv,28.csv,0.983952
19.csv,17.csv,0.982575
25.csv,20.csv,0.982491
9.csv,10.csv,0.980627
9.csv,7.csv,0.980303
16.csv,15.csv,0.9795
12.csv,10.csv,0.97863
3.csv,1.csv,0.978047
5.csv,1.csv,0.973361
30.csv,27.csv,0.972215
14.csv,13.csv,0.972162
15.csv,11.csv,0.972131
23.csv,22.csv,0.971184
24.csv,21.csv,0.968704
7.csv,6.csv,0.967915
38.csv,34.csv,0.965694
4.csv,1.csv,0.96486
27.csv,25.csv,0.962697
36.csv,31.csv,0.961259
33.csv,28.csv,0.952713
1.csv,0.csv,0.952381
34.csv,33.csv,0.95185
20.csv,18.csv,0.950749
13.csv,12.csv,0.937216
2.csv,1.csv,0.93266
51.csv,48.csv,0.931788
22.csv,20.csv,0.927333
56.csv,55.csv,0.923919
28.csv,26.csv,0.921499
21.csv,20.csv,0.916895
20.csv,17.csv,0.91572
35.csv,32.csv,0.908264
6.csv,11.csv,0.904762
31.csv,30.csv,0.894737
50.csv,49.csv,0.890721
53.csv,51.csv,0.890281
47.csv,43.csv,0.888468
65.csv,64.csv,0.880815
49.csv,48.csv,0.880273
39.csv,35.csv,0.84471
35.csv,28.csv,0.799814
64.csv,63.csv,0.791201
69.csv,67.csv,0.780952
74.csv,73.csv,0.777172
44.csv,43.csv,0.771672
76.csv,70.csv,0.763636
46.csv,44.csv,0.750243
48.csv,46.csv,0.749075
55.csv,52.csv,0.722966
77.csv,76.csv,0.717391
71.csv,66.csv,0.701728
54.csv,53.csv,0.689538
45.csv,43.csv,0.67073
66.csv,61.csv,0.662222
57.csv,55.csv,0.64135
60.csv,59.csv,0.628571
54.csv,33.csv,0.618522
58.csv,57.csv,0.606495
41.csv,40.csv,0.578231
62.csv,60.csv,0.563889
72.csv,71.csv,0.548277
52.csv,50.csv,0.545594
63.csv,62.csv,0.530222
61.csv,60.csv,0.503571
70.csv,69.csv,0.5
42.csv,41.csv,0.480516
73.csv,61.csv,0.463182
67.csv,66.csv,0.44709
43.csv,42.csv,0.361699
78.csv,77.csv,0.333333
72.csv,33.csv,0.242628
68.csv,67.csv,0.204762
75.csv,73.csv,0.109028
